2017-06-07T12:57:23.364+0800 I CONTROL  [main] ***** SERVER RESTARTED *****
2017-06-07T12:57:23.458+0800 I CONTROL  [initandlisten] MongoDB starting : pid=9338 port=27017 dbpath=/Users/amit/mongo/replicaSet/mongo1/data/db 64-bit host=Amits-Air
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten] db version v3.4.4
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten] git version: 888390515874a9debd1b6c5d36559ca86b44babd
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2l  25 May 2017
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten] allocator: system
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten] modules: none
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten] build environment:
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten]     distarch: x86_64
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2017-06-07T12:57:23.459+0800 I CONTROL  [initandlisten] options: { config: "/Users/amit/mongo/replicaSet/mongo1/conf.yml", net: { bindIp: "127.0.0.1", port: 27017 }, replication: { replSetName: "rs0" }, security: { keyFile: "/Users/amit/mongo/replicaSet/mongo1/keyfile.txt" }, storage: { dbPath: "/Users/amit/mongo/replicaSet/mongo1/data/db" }, systemLog: { destination: "file", logAppend: true, path: "/Users/amit/mongo/replicaSet/mongo1/mongo.log" } }
2017-06-07T12:57:23.462+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-06-07T12:57:23.834+0800 I CONTROL  [initandlisten] 
2017-06-07T12:57:23.834+0800 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2017-06-07T12:57:23.933+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/amit/mongo/replicaSet/mongo1/data/db/diagnostic.data'
2017-06-07T12:57:24.025+0800 I REPL     [initandlisten] Did not find local voted for document at startup.
2017-06-07T12:57:24.025+0800 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2017-06-07T12:57:24.026+0800 I NETWORK  [thread1] waiting for connections on port 27017
2017-06-07T12:57:32.982+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57686 #1 (1 connection now open)
2017-06-07T12:57:32.985+0800 I ACCESS   [conn1] note: no users configured in admin.system.users, allowing localhost access
2017-06-07T12:57:32.988+0800 I ACCESS   [conn1] Unauthorized: not authorized on admin to execute command { listDatabases: 1 }
2017-06-07T12:57:37.736+0800 I -        [conn1] end connection 127.0.0.1:57686 (1 connection now open)
2017-06-07T12:57:41.786+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57690 #2 (1 connection now open)
2017-06-07T12:57:41.787+0800 I ACCESS   [conn2] Unauthorized: not authorized on admin to execute command { listDatabases: 1 }
2017-06-07T12:57:43.316+0800 I -        [conn2] end connection 127.0.0.1:57690 (1 connection now open)
