2017-06-07T13:19:40.792+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58044 #12 (1 connection now open)
2017-06-07T13:19:40.794+0800 I -        [conn12] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:19:40.794+0800 I -        [conn12] end connection 127.0.0.1:58044 (1 connection now open)
2017-06-07T13:20:40.775+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58056 #13 (1 connection now open)
2017-06-07T13:20:40.777+0800 I -        [conn13] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:20:40.777+0800 I -        [conn13] end connection 127.0.0.1:58056 (1 connection now open)
2017-06-07T13:21:40.891+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58065 #14 (1 connection now open)
2017-06-07T13:21:40.893+0800 I -        [conn14] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:21:40.894+0800 I -        [conn14] end connection 127.0.0.1:58065 (1 connection now open)
2017-06-07T13:22:45.801+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58079 #15 (1 connection now open)
2017-06-07T13:22:45.804+0800 I -        [conn15] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:22:45.804+0800 I -        [conn15] end connection 127.0.0.1:58079 (1 connection now open)
2017-06-07T13:23:38.430+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58086 #16 (1 connection now open)
2017-06-07T13:23:38.432+0800 I -        [conn16] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:23:38.432+0800 I -        [conn16] end connection 127.0.0.1:58086 (1 connection now open)
2017-06-07T13:24:06.217+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58089 #17 (1 connection now open)
2017-06-07T13:24:06.229+0800 I ACCESS   [conn17] note: no users configured in admin.system.users, allowing localhost access
2017-06-07T13:24:06.250+0800 I ACCESS   [conn17] Successfully authenticated as principal __system on local
2017-06-07T13:24:06.250+0800 I -        [conn17] end connection 127.0.0.1:58089 (1 connection now open)
2017-06-07T13:24:06.280+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58093 #18 (1 connection now open)
2017-06-07T13:24:06.284+0800 I NETWORK  [conn18] received client metadata from 127.0.0.1:58093 conn18: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.4" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.6.0" } }
2017-06-07T13:24:06.315+0800 I ACCESS   [conn18] Successfully authenticated as principal __system on local
2017-06-07T13:24:06.319+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27017
2017-06-07T13:24:06.554+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to localhost:27017, took 235ms (1 connections now open to localhost:27017)
2017-06-07T13:24:08.592+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58101 #19 (2 connections now open)
2017-06-07T13:24:08.618+0800 I ACCESS   [conn19] Successfully authenticated as principal __system on local
